form,rtol,a1,a2,omega1,omega2,phi,N,square,chi,gamma,triangle,alpha,tilde,star,beta,rho,epsilon,delta
DS-p,1e-11,35.0,35.0,11.7,23.4,1.5707963267948966,51,(1.2700463152947455e-10+9.161719657799433e-10j),(7.088695920283162e-11-3.60629766578286e-11j),(-0.2533623910823538+0.042417255524356746j),(-3.4137323423242237e-10+1.0997604961036564e-09j),(-3.098194444051128e-10-1.1628266231570511e-10j),(-0.5220469837983471-0.236657768145867j),(-6.14060389342308e-10-2.4337477259189777e-10j),(-2.6385370364284677e-10-9.423363741686817e-11j),(-0.03149399646412423+0.5119543241008503j),(-4.23967214200488e-10-2.2117235126684065e-10j),(5.789786011733966e-11-3.646209167248047e-11j)
DS-p,1e-11,35.0,35.0,11.8,23.6,1.5707963267948966,51,(1.6237188004732117e-10+9.229147360082825e-10j),(6.838612445761645e-11-3.5236578327445883e-11j),(-0.24360315146693168+0.04739811607695602j),(-3.158302621980493e-10+1.117543917676005e-09j),(-2.996924028386694e-10-1.165389574480518e-10j),(-0.5172161793486101-0.23805189914983563j),(-6.017477653316727e-10-2.5243664190238713e-10j),(-2.560605755208556e-10-9.428027135006524e-11j),(-0.03863291203672172+0.5185345680300106j),(-4.145514452547072e-10-2.2779799921379684e-10j),(6.453543255346972e-11-3.6564084913795586e-11j)
DS-p,1e-11,35.0,35.0,11.9,23.8,1.5707963267948966,51,(1.5908713392855447e-10+9.292479025569799e-10j),(6.671352847662849e-11-3.4741187684417266e-11j),(-0.23370477228552222+0.05178317174883443j),(-3.095791140529224e-10+1.1457718759633499e-09j),(-2.978491061645175e-10-1.1825604540857873e-10j),(-0.5122864863195986-0.23911621240973616j),(-5.963572188155686e-10-2.598748941734508e-10j),(-2.5734437150704004e-10-9.57231311301063e-11j),(-0.04582337720314036+0.5248848918282586j),(-4.0964253430336717e-10-2.3752282779510026e-10j),(6.367163046805402e-11-3.685812136953478e-11j)
DS-p,1e-11,35.0,35.0,12.0,24.0,1.5707963267948966,51,(1.875897682091128e-10+9.340700042592947e-10j),(7.097351182882596e-11-3.3999665921883945e-11j),(-0.22370137478961424+0.055584596160386836j),(-2.9243761747030014e-10+1.1644264763768417e-09j),(-3.0062107068008076e-10-1.1931355316032143e-10j),(-0.5072779733791503-0.23985755300930897j),(-5.90059036353896e-10-2.64377734982002e-10j),(-2.6384442373961203e-10-9.630966717349887e-11j),(-0.05305776157011257+0.5310100575653285j),(-4.0169633765130275e-10-2.418542033311155e-10j),(6.157017257146791e-11-3.702621183788819e-11j)
DS-p,1e-11,35.0,35.0,12.1,24.2,1.5707963267948966,51,(1.652043226611083e-10+9.284664744256847e-10j),(7.074818627904919e-11-3.2949614619111656e-11j),(-0.21362488398212223+0.05881576452842859j),(-2.8767304049949136e-10+1.1730252182261453e-09j),(-3.0339059313867073e-10-1.1981034805419893e-10j),(-0.5022094482324967-0.2402834786704928j),(-5.867492889125026e-10-2.655656892308622e-10j),(-2.6945242218023857e-10-9.673880457057872e-11j),(-0.06032885619798526+0.5369148644196879j),(-3.979170881684979e-10-2.451518571477962e-10j),(5.263024044355191e-11-3.733410482000906e-11j)
DS-p,1e-11,35.0,35.0,12.2,24.4,1.5707963267948966,51,(1.934876208906089e-10+9.308327821098798e-10j),(6.771207603050968e-11-3.193876585070106e-11j),(-0.20350509409828887+0.06149106208288108j),(-2.6103842029026776e-10+1.1903931114215418e-09j),(-2.864401485100365e-10-1.2051603199876398e-10j),(-0.49709849388186483-0.24040214704546525j),(-5.759710703170939e-10-2.7501345124802956e-10j),(-2.521619892059679e-10-9.72091424400125e-11j),(-0.06762985542228657+0.5426041344597494j),(-3.977273059507791e-10-2.4686035160481623e-10j),(5.402599201342895e-11-3.745339739593767e-11j)
DS-p,1e-11,35.0,35.0,12.3,24.6,1.5707963267948966,51,(2.21788337586952e-10+9.344026535049003e-10j),(7.133448422480234e-11-3.120445128061304e-11j),(-0.19336974032052207+0.06362571001536388j),(-2.4044726580347946e-10+1.217959912476951e-09j),(-2.865734656954527e-10-1.215800549424304e-10j),(-0.49196150850440395-0.24022221345168157j),(-5.697010649688417e-10-2.806759659759739e-10j),(-2.5762192726319633e-10-9.849553790527361e-11j),(-0.0749543393196369+0.5480826997967292j),(-3.9214032888923445e-10-2.53782453385476e-10j),(5.429096755493745e-11-3.7795103637388375e-11j)
DS-p,1e-11,35.0,35.0,12.4,24.8,1.5707963267948966,51,(2.2498229950047854e-10+9.395425299308507e-10j),(7.239790904585696e-11-3.026833821722154e-11j),(-0.1832445750213467+0.06523560829167888j),(-2.27877837530744e-10+1.2343767290796492e-09j),(-2.902036642677547e-10-1.2257897674949502e-10j),(-0.48681374802545585-0.23975273826816174j),(-5.647093574007167e-10-2.8356352942821017e-10j),(-2.656057145056234e-10-9.948445804671326e-11j),(-0.08229625671706824+0.5533553909008911j),(-3.819453512146631e-10-2.6061265645527243e-10j),(5.4776523594757265e-11-3.80522232986211e-11j)
DS-p,1e-11,35.0,35.0,12.5,25.0,1.5707963267948966,51,(2.5117114171944316e-10+9.381526011907138e-10j),(6.615025362245334e-11-2.930402807488095e-11j),(-0.1731534472991705+0.06633719391107887j),(-1.9960844159202032e-10+1.2510891872046783e-09j),(-2.7784695139261573e-10-1.2405312304707369e-10j),(-0.48166937067784926-0.2390031034425993j),(-5.601976799107788e-10-2.9662086242082664e-10j),(-2.5326774878708935e-10-1.0046726724736716e-10j),(-0.08964990878218228+0.5584270261807095j),(-3.8802355252498533e-10-2.6532400582146565e-10j),(6.111657013807559e-11-3.863082220411098e-11j)
DS-p,1e-11,35.0,35.0,12.6,25.2,1.5707963267948966,51,(2.3938975430323577e-10+9.45105336507446e-10j),(6.088404408318695e-11-2.8326762889008753e-11j),(-0.1631183844139583+0.06694731360488179j),(-1.919856282956399e-10+1.2754564129846806e-09j),(-2.697217085095849e-10-1.25795078376678e-10j),(-0.47654148287456366-0.23798293740948886j),(-5.543475791250363e-10-3.0079299728064113e-10j),(-2.4429194257769016e-10-1.0183310167266932e-10j),(-0.09700993313358543+0.563302402422092j),(-3.736064070961054e-10-2.623429043446812e-10j),(5.831995997240824e-11-3.872316290124052e-11j)
DS-p,1e-11,35.0,35.0,12.7,25.4,1.5707963267948966,51,(2.6502575185979003e-10+9.389464344786635e-10j),(5.2706366622514106e-11-2.7226231247332174e-11j),(-0.1531596743762459+0.06708310980705202j),(-1.584869648170971e-10+1.288398582313915e-09j),(-2.4969893730811266e-10-1.262874401601229e-10j),(-0.47144218570743585-0.23670204779167514j),(-5.429089894662398e-10-3.0827130605148856e-10j),(-2.237723964459981e-10-1.0249514304030592e-10j),(-0.10437128853919649+0.5679862863915353j),(-3.622466901095911e-10-2.598127477049239e-10j),(6.350769909957421e-11-3.8830513339152764e-11j)
DS-p,1e-11,35.0,35.0,12.8,25.6,1.5707963267948966,51,(2.649941115877904e-10+9.454531644479411e-10j),(5.6924177383337645e-11-2.6338086021267757e-11j),(-0.14329594880438698+0.06676191882372573j),(-1.4619384571196506e-10+1.3158599185415082e-09j),(-2.5461864257628197e-10-1.2839988551270678e-10j),(-0.46638262171398626-0.23517036130161065j),(-5.50706536796286e-10-3.148676250286364e-10j),(-2.377172278467121e-10-1.0486609217602375e-10j),(-0.11172924010556835+0.572483407078063j),(-3.7580425490263414e-10-2.6788576218406135e-10j),(5.899733479530767e-11-3.988187523021917e-11j)
DS-p,1e-11,35.0,35.0,12.9,25.8,1.5707963267948966,51,(2.9215991542816573e-10+9.272547215325626e-10j),(5.022694471223387e-11-2.5025421104348718e-11j),(-0.13354426515851467+0.06600118050973658j),(-1.1057725988659027e-10+1.3143393037408466e-09j),(-2.3504798715018316e-10-1.289310802406889e-10j),(-0.46137302151206616-0.23339787027430425j),(-5.422388354298091e-10-3.2444449470786507e-10j),(-2.1850316521410118e-10-1.0534419430901932e-10j),(-0.11907934503219435+0.5767984490351724j),(-3.796286037263674e-10-2.6649595030736606e-10j),(6.36858066282997e-11-4.0018755495367204e-11j)
DS-p,1e-11,35.0,35.0,13.0,26.0,1.5707963267948966,51,(2.797989857113072e-10+9.170397642481194e-10j),(4.659531092349444e-11-2.362333842759814e-11j),(-0.12392018808494255+0.06481835796176291j),(-9.705359798706063e-11+1.3025445385336039e-09j),(-2.2600609448156228e-10-1.2919440390242666e-10j),(-0.4564227498734008-0.231394585252287j),(-5.326494809457238e-10-3.2867731800112487e-10j),(-2.098553310292406e-10-1.0550737928170524e-10j),(-0.12641743884582096+0.580936046185261j),(-3.6497236483024054e-10-2.6323165175368146e-10j),(6.194848800600283e-11-4.002070837132784e-11j)
DS-p,1e-11,35.0,35.0,13.1,26.2,1.5707963267948966,51,(3.0247853093773314e-10+8.976811079007942e-10j),(3.957005490527876e-11-2.2445371612759075e-11j),(-0.11443786923012282+0.06323086687106526j),(-5.968133349716978e-11+1.2977710658855637e-09j),(-2.0730867109769457e-10-1.3139429147285723e-10j),(-0.4515403511011943-0.22917049315648938j),(-5.285853352243741e-10-3.4031139711787617e-10j),(-1.9242774387806527e-10-1.0733993596877094e-10j),(-0.13373962218419658+0.5849007766002069j),(-3.5018505456507754e-10-2.571970345033314e-10j),(6.588997403245145e-11-4.016083321357399e-11j)
DS-p,1e-11,35.0,35.0,13.2,26.4,1.5707963267948966,51,(3.432628014840046e-10+8.990146719786447e-10j),(3.182119419132512e-11-2.1247955038852366e-11j),(-0.1051101251334935+0.061256013406169395j),(-2.480064512587997e-11+1.309734399131498e-09j),(-1.8843134778206982e-10-1.332386693495778e-10j),(-0.4467335933644621-0.22673552049191398j),(-5.281580520155593e-10-3.5567607539754853e-10j),(-1.7349123526688714e-10-1.0919231364138477e-10j),(-0.1410422480367707+0.5886971577324859j),(-3.6353242464925994e-10-2.579987820605645e-10j),(7.11357500682297e-11-4.107684645620764e-11j)
DS-p,1e-11,35.0,35.0,13.3,26.6,1.5707963267948966,51,(3.4334882869800284e-10+8.861488451394114e-10j),(2.8130413793144596e-11-1.9978851683356578e-11j),(-0.09594851303952931+0.05891093994887752j),(-1.3576223478750649e-12+1.3016146431932212e-09j),(-1.7444278140044123e-10-1.3519993329188364e-10j),(-0.4420095118933249-0.22409950121527542j),(-5.276126011782845e-10-3.6542743483969353e-10j),(-1.6056405163777931e-10-1.110410902461361e-10j),(-0.14832190949131796+0.5923296422736678j),(-3.5881190380004924e-10-2.5112557172635164e-10j),(6.800597585066015e-11-4.146675072826709e-11j)
DS-p,1e-11,35.0,35.0,13.4,26.8,1.5707963267948966,51,(3.462472605180768e-10+8.649004661201226e-10j),(2.996899534828132e-11-1.8618871645647575e-11j),(-0.08696340428755865+0.05621257797653901j),(2.1796733634584647e-11+1.2846048261431501e-09j),(-1.7283451557957574e-10-1.3730042694292557e-10j),(-0.4373744509389167-0.22127214879357848j),(-5.318133407608561e-10-3.753155798300045e-10j),(-1.6313239127596635e-10-1.1303843839728293e-10j),(-0.15557542796663898+0.5958026146327331j),(-3.597628150248111e-10-2.517018052317077e-10j),(6.563376231394358e-11-4.2108511025144685e-11j)
DS-p,1e-11,35.0,35.0,13.5,27.0,1.5707963267948966,51,(3.232154545634684e-10+8.505416726283486e-10j),(2.682764319956256e-11-1.715980958654471e-11j),(-0.07816405520612267+0.053177607209212115j),(3.2406940900318176e-11+1.2468672752746486e-09j),(-1.7417568667736638e-10-1.3839860007538586e-10j),(-0.4328341041640623-0.2182630320210585j),(-5.32379381898429e-10-3.860566042193647e-10j),(-1.6421068151084572e-10-1.1403868366341528e-10j),(-0.16279984189447733+0.5991203878357981j),(-3.6522842736252947e-10-2.659156297935006e-10j),(7.358272324786697e-11-4.2747200080311205e-11j)
DS-p,1e-11,35.0,35.0,13.6,27.2,1.5707963267948966,51,(3.4300643236644633e-10+8.127578686564947e-10j),(1.7358054381918394e-11-1.5836525132302406e-11j),(-0.06955867525274198+0.04982242097757273j),(7.138708791850149e-11+1.210982457242266e-09j),(-1.4499437457973774e-10-1.410360356798408e-10j),(-0.4283935538213404-0.2150815543821578j),(-5.328012111366354e-10-4.0405068527094024e-10j),(-1.3219770764183458e-10-1.1650585660593297e-10j),(-0.16999239584737372+0.6022872008959701j),(-3.7064577448897573e-10-2.526295353466601e-10j),(7.180218919433656e-11-4.34134417539047e-11j)
DS-p,1e-11,35.0,35.0,13.7,27.4,1.5707963267948966,51,(3.0638164504352347e-10+7.860507358133529e-10j),(1.238278860993139e-11-1.422864191985906e-11j),(-0.06115449255621418+0.046163096399452j),(8.089629888272803e-11+1.136254093020615e-09j),(-1.3252107592710838e-10-1.4104724689680766e-10j),(-0.42405730817817927-0.21173693644121472j),(-5.245437192241686e-10-4.087596407187366e-10j),(-1.213564405216916e-10-1.1627425967974729e-10j),(-0.1771505301591262+0.6053072166769281j),(-3.5619784552465283e-10-2.4443327917289537e-10j),(7.116836286957806e-11-4.332864722071556e-11j)
DS-p,1e-11,35.0,35.0,13.8,27.6,1.5707963267948966,51,(3.2200674025535496e-10+7.346051252108549e-10j),(5.755237995312153e-12-1.2805570282889161e-11j),(-0.05295781653990737+0.042215369592571585j),(1.1127281596677065e-10+1.0756440853733324e-09j),(-1.156926889359089e-10-1.4330230534455763e-10j),(-0.419829337533018-0.20823820106799434j),(-5.258529401849787e-10-4.235237299754502e-10j),(-1.029474110125772e-10-1.1841924326097246e-10j),(-0.18427187089732047+0.6081845200205525j),(-3.5419589310137223e-10-2.3957189704271187e-10j),(7.56925772060768e-11-4.403285873802657e-11j)
DS-p,1e-11,35.0,35.0,13.9,27.8,1.5707963267948966,51,(3.143746015666824e-10+7.040282322780863e-10j),(-1.1646465529413714e-12-1.159454494244003e-11j),(-0.04497409779818348+0.0379946151500189j),(1.3113685217748788e-10+1.0244860743268888e-09j),(-1.0719876093572e-10-1.4830117020667292e-10j),(-0.41571310866496225-0.20459416121459775j),(-5.43354868910717e-10-4.525187906681549e-10j),(-9.368581604940474e-11-1.2365649875034742e-10j),(-0.19135422033830052+0.6109231163720423j),(-3.8721737968816505e-10-2.6031270194959433e-10j),(8.477420154751059e-11-4.6091903450926854e-11j)
DS-p,1e-11,35.0,35.0,14.0,28.0,1.5707963267948966,51,(2.65628345938484e-10+6.623389538923125e-10j),(-2.7488087573440285e-12-1.0212515003159787e-11j),(-0.03720798536103376+0.03351582916911589j),(1.1872070548055256e-10+9.067167814298996e-10j),(-9.552510562074734e-11-1.4864609126459546e-10j),(-0.41171161759844455-0.20081340989625554j),(-5.324874924675371e-10-4.496099855269553e-10j),(-8.392878579621676e-11-1.2237841274570387e-10j),(-0.19839554776629909+0.613526930526097j),(-3.559379197631829e-10-2.4358527001000496e-10j),(7.856586214938233e-11-4.534030406346813e-11j)
DS-p,1e-11,35.0,35.0,14.1,28.2,1.5707963267948966,51,(2.6619100063833383e-10+6.036339088828584e-10j),(-5.211707227568719e-12-9.11632339364309e-12j),(-0.029663380858139493+0.028793616062172005j),(1.3405652733993346e-10+8.128869842569488e-10j),(-9.51383841499287e-11-1.5495970515056345e-10j),(-0.40782742104573594-0.19690431227664193j),(-5.456155258501405e-10-4.726081904299351e-10j),(-7.925783813977905e-11-1.2651726547589255e-10j),(-0.20539398076613224+0.6159998059743661j),(-3.572721996719652e-10-2.5038966733337276e-10j),(8.557504704853613e-11-4.702665500712922e-11j)
DS-p,1e-11,35.0,35.0,14.2,28.4,1.5707963267948966,51,(2.3053596152970398e-10+5.561584816136554e-10j),(-4.500479782826008e-12-7.991546236318032e-12j),(-0.02234349032025192+0.023842178212184033j),(1.2016867720083396e-10+6.975154757168228e-10j),(-8.015344323594048e-11-1.5677476921326368e-10j),(-0.4040626660935152-0.1928749994827165j),(-5.515712279274831e-10-4.815100705310438e-10j),(-6.935053226131416e-11-1.2813109026332126e-10j),(-0.212347796788016+0.6183455041799252j),(-3.717632399841131e-10-2.4584721758369454e-10j),(7.674925972533941e-11-4.801124322104374e-11j)
DS-p,1e-11,35.0,35.0,14.3,28.6,1.5707963267948966,51,(1.913155635839157e-10+5.087180903444325e-10j),(-5.841301013340146e-12-7.117949617337891e-12j),(-0.015250873238787493+0.018675308259397935j),(1.013301070926665e-10+5.672803076960911e-10j),(-7.042532225789988e-11-1.580585128357411e-10j),(-0.4004191185963688-0.18873336411511107j),(-5.482311202231749e-10-4.895873532972939e-10j),(-5.6530075759342324e-11-1.2892494335371432e-10j),(-0.21925541518428115+0.6205677043228445j),(-3.7240284467277007e-10-2.4867196496414223e-10j),(7.85931736357881e-11-4.8689861663163576e-11j)
DS-p,1e-11,35.0,35.0,14.4,28.8,1.5707963267948966,51,(1.5988891902374666e-10+4.3840383274064247e-10j),(-7.126435541762455e-12-6.317895429982479e-12j),(-0.008387488913468714+0.013306384151083317j),(7.957820178912476e-11+4.1805450060375914e-10j),(-6.495181714520626e-11-1.589958678971238e-10j),(-0.3968981899823266-0.18448705713160757j),(-5.445378158802638e-10-4.911903436072285e-10j),(-5.535916863808055e-11-1.2909973465960815e-10j),(-0.22611538954041238+0.622670003240721j),(-3.734559224366496e-10-2.462939782676976e-10j),(7.67087504627284e-11-4.8883726858601684e-11j)
DS-p,1e-11,35.0,35.0,14.5,29.0,1.5707963267948966,51,(1.0062947822703271e-10+3.9953663059997657e-10j),(-6.709868012085131e-12-5.865897711176652e-12j),(-0.0017547405604971978+0.007748365908807248j),(3.3020196948637445e-11+2.65479959108588e-10j),(-6.232156544300205e-11-1.577361185199423e-10j),(-0.3935009627023712-0.18014348602596184j),(-5.326091772478447e-10-4.852471601618502e-10j),(-5.2622007445934926e-11-1.276001494254995e-10j),(-0.23292640035770223+0.6246559154141123j),(-3.6439748440919573e-10-2.5080930388110545e-10j),(8.054540368007679e-11-4.843101232826543e-11j)
DS-p,1e-11,35.0,35.0,14.6,29.2,1.5707963267948966,51,(5.498241610808231e-11+3.3190415560792157e-10j),(-5.6664680733840985e-12-5.648772674842466e-12j),(0.004646483229101462+0.002013794661091529j),(-1.4814786550298997e-11+9.624074473013437e-11j),(-6.078493264283225e-11-1.597394366150155e-10j),(-0.39022821430334004-0.17570981413299785j),(-5.27715115529459e-10-4.897768995926199e-10j),(-5.125053159638071e-11-1.279646522627276e-10j),(-0.23968724811794492+0.6265288733419935j),(-3.6383279028440185e-10-2.585101091523434e-10j),(8.459684168460324e-11-4.926685519765584e-11j)
DS-p,1e-11,35.0,35.0,14.7,29.4,1.5707963267948966,51,(1.1191483612234265e-11+2.5671805645361735e-10j),(-2.6958939582901115e-12-5.865380203934193e-12j),(0.01081576915419783-0.0038852069424544153j),(-6.675348571431525e-11-8.295040229786693e-11j),(-5.821754450047179e-11-1.610258286771373e-10j),(-0.3870804401953113-0.17119296092023412j),(-5.214052141433445e-10-4.840516251714e-10j),(-5.525682689189182e-11-1.2711570459193474e-10j),(-0.24639684659340147+0.6282922279204021j),(-3.582842286742327e-10-2.626051598397794e-10j),(8.464873246794014e-11-4.940615708644313e-11j)
DS-p,1e-11,35.0,35.0,14.8,29.6,1.5707963267948966,51,(-5.664900829243508e-11+2.1875539872378766e-10j),(3.408750514893985e-13-6.387628476552734e-12j),(0.01675314224931612-0.009936932668692064j),(-1.4743912121468854e-10-2.5013710695367193e-10j),(-5.300674482677792e-11-1.6066055965538103e-10j),(-0.3840578751382904-0.16659960314840833j),(-5.103470944456401e-10-4.756382562115524e-10j),(-5.407082420694209e-11-1.2511929900382746e-10j),(-0.253054216565803+0.6299492491047486j),(-3.5758483327152923e-10-2.6238785449939073e-10j),(8.22476392547955e-11-4.965449534688686e-11j)
DS-p,1e-11,35.0,35.0,14.9,29.8,1.5707963267948966,51,(-1.0738607122669566e-10+1.451634784870471e-10j),(3.172327975675565e-12-7.344234652740938e-12j),(0.02245903098673548-0.016130089435928776j),(-2.2298382807090303e-10-4.3789487001597493e-10j),(-5.229225602879084e-11-1.60911852646175e-10j),(-0.38116051347108504-0.16193617677547661j),(-5.095182765285644e-10-4.721839013538398e-10j),(-6.734042143352603e-11-1.251194513632514e-10j),(-0.25965847974776446+0.63150312652739j),(-3.854750477150226e-10-2.763567638619513e-10j),(8.0341899799663e-11-5.09972893834999e-11j)
DS-p,1e-11,35.0,35.0,15.0,30.0,1.5707963267948966,51,(-1.6265615075542264e-10+9.040125120924128e-11j),(1.3551855616066244e-11-8.561826004737263e-12j),(0.027934234438502722-0.022453792964323253j),(-3.12481255714675e-10-6.011124913259634e-10j),(-5.805914386411426e-11-1.6027536078958642e-10j),(-0.3783881282480076-0.15720887953515203j),(-4.902347954666153e-10-4.493268587063559e-10j),(-8.62258459077836e-11-1.2091125584983735e-10j),(-0.2662088530481092+0.6329569703970903j),(-3.5236620218870307e-10-2.811121196932831e-10j),(8.244133153922917e-11-5.036942984958605e-11j)
DS-p,1e-11,35.0,35.0,15.1,30.2,1.5707963267948966,51,(-2.052775315724599e-10+5.148768119755259e-11j),(2.3075193275084907e-11-9.967543218039333e-12j),(0.03317989138618897-0.028897562405082237j),(-3.8318772026951775e-10-7.249926877237042e-10j),(-6.301490969654044e-11-1.5779211038333098e-10j),(-0.37574028918120167-0.15242367408014756j),(-4.692957220747696e-10-4.238918556442872e-10j),(-9.881215290441503e-11-1.1564434414766703e-10j),(-0.27270464309383535+0.6343138123669102j),(-3.338701502764163e-10-2.8109518879215756e-10j),(7.947201230429357e-11-4.9663305175995905e-11j)
DS-p,1e-11,35.0,35.0,15.2,30.4,1.5707963267948966,51,(-2.454647469985437e-10+3.0377652812923345e-11j),(2.708967376506159e-11-1.1332120115429166e-11j),(0.03819745138369573-0.035451314180946755j),(-4.5757930880767003e-10-8.23746198612722e-10j),(-6.596889224122493e-11-1.5399738651629702e-10j),(-0.37321637957078474-0.14758629161166104j),(-4.459002906492815e-10-3.982167390975677e-10j),(-1.0726249055625914e-10-1.1063478268029883e-10j),(-0.27914524104716765+0.6355766066299241j),(-3.262554185146094e-10-2.8746733465867536e-10j),(8.1408518814996e-11-4.85744053228318e-11j)
DS-p,1e-11,35.0,35.0,15.3,30.6,1.5707963267948966,51,(-2.8244601004822484e-10-7.2252802699179774e-12j),(3.5552052934692655e-11-1.3058252486637034e-11j),(0.04298864741806562-0.042105355169086034j),(-5.292877775062328e-10-9.298651608088699e-10j),(-7.70821848190828e-11-1.553194852080595e-10j),(-0.3708156121529019-0.14270223591435693j),(-4.354331322592442e-10-3.825691534398157e-10j),(-1.298547033790065e-10-1.0876611585683744e-10j),(-0.28553011761653013+0.6367482309518501j),(-3.1232173097750504e-10-3.015825644769876e-10j),(8.809335205750557e-11-4.8907674917451425e-11j)
DS-p,1e-11,35.0,35.0,15.4,30.8,1.5707963267948966,51,(-3.0794485136789035e-10-1.799063502339049e-11j),(3.949316001384726e-11-1.4550112766622205e-11j),(0.047555470483469815-0.04885037519939896j),(-5.893391279545093e-10-9.831595809283063e-10j),(-7.349704785747369e-11-1.54517728157666e-10j),(-0.3685370440536032-0.13777678775435284j),(-4.181459761776196e-10-3.649415613454776e-10j),(-1.2970858415117803e-10-1.0502622818908227e-10j),(-0.29185881837446115+0.6378314878534551j),(-3.0957447369472924e-10-2.9926777028732587e-10j),(8.310631349761621e-11-4.8780912465145115e-11j)
DS-p,1e-11,35.0,35.0,15.5,31.0,1.5707963267948966,51,(-3.2288651423796957e-10-2.3644384518871353e-11j),(4.681818658378424e-11-1.6001382039051613e-11j),(0.05190014553172521-0.05567743914233209j),(-6.317346911430613e-10-1.0112093081827457e-09j),(-7.51237210459832e-11-1.513984931967405e-10j),(-0.3663795907485299-0.13281500956762138j),(-3.9958359364378193e-10-3.4216533599529253e-10j),(-1.3594370074088147e-10-1.008193953671393e-10j),(-0.2981309592719904+0.638829105818368j),(-3.0838221559692514e-10-3.021551134296807e-10j),(7.86500031768611e-11-4.827543461409335e-11j)
DS-p,1e-11,35.0,35.0,15.6,31.2,1.5707963267948966,51,(-3.297541504177631e-10-3.0788208625360386e-11j),(4.574959846587656e-11-1.726166824468034e-11j),(0.056025109152396016-0.0625779785447218j),(-6.65577555743202e-10-1.015171109772662e-09j),(-6.718017244930485e-11-1.508166917368343e-10j),(-0.3643420392032195-0.12782175037694252j),(-3.800856851476908e-10-3.2525508328329344e-10j),(-1.246928255094204e-10-9.711418032090566e-11j),(-0.3043462223949117+0.6397437405956303j),(-2.9408569676703245e-10-2.9343651120061764e-10j),(7.712425142969437e-11-4.7830821567212274e-11j)
DS-p,1e-11,35.0,35.0,15.7,31.4,1.5707963267948966,51,(-3.423387301719136e-10-2.6116814114997278e-11j),(5.054029336896515e-11-1.8594065478337818e-11j),(0.059932988572664006-0.06954378297099673j),(-7.074101096571361e-10-1.025629556489823e-09j),(-6.916987685748333e-11-1.515916018523317e-10j),(-0.36242306015742076-0.12280165092137389j),(-3.692395451893038e-10-3.1163527661193235e-10j),(-1.2872900662097564e-10-9.51887534585078e-11j),(-0.3105043519369195+0.6405779765176904j),(-2.9524445041562153e-10-2.998647302687729e-10j),(7.625657050258638e-11-4.794376595008426e-11j)
DS-p,1e-11,35.0,35.0,15.8,31.6,1.5707963267948966,51,(-3.537558275284146e-10-2.0399727642794047e-11j),(5.3844188591963384e-11-1.987440354400934e-11j),(0.06362658199452055-0.07656699106175908j),(-7.46257342596271e-10-1.0284337833925926e-09j),(-6.508922827802577e-11-1.5323614444775998e-10j),(-0.3606212195763254-0.11775914890543497j),(-3.617010354423078e-10-3.022481084857809e-10j),(-1.3224159267632984e-10-9.387028989114427e-11j),(-0.31660515034280123+0.6413343277810147j),(-3.002096522763953e-10-3.0410177848105846e-10j),(7.430915605066701e-11-4.850410537726906e-11j)
DS-p,1e-11,35.0,35.0,15.9,31.8,1.5707963267948966,51,(-3.50676566723742e-10-2.5029915314868367e-11j),(5.7844296681101165e-11-2.093477302697557e-11j),(0.06710884034649232-0.08364008144063681j),(-7.650089464900436e-10-1.0113776307326544e-09j),(-6.48135898249913e-11-1.510536517722753e-10j),(-0.3589349894558337-0.11269848438722713j),(-3.4515958841074834e-10-2.8314874229995457e-10j),(-1.327920343130451e-10-9.084490719819224e-11j),(-0.3226484746909164+0.6420152398743837j),(-2.875799147428193e-10-2.942210433620751e-10j),(6.568347254987117e-11-4.745702088240025e-11j)
DS-p,1e-11,35.0,35.0,16.0,32.0,1.5707963267948966,51,(-3.4988501966580834e-10+1.4149539396060562e-11j),(5.950441719492373e-11-2.1692522911636445e-11j),(0.07038285023280583-0.09075586340536429j),(-7.888853651273967e-10-9.712836264441638e-10j),(-5.918791758791064e-11-1.503822698507457e-10j),(-0.3573627578327871-0.10762370525908883j),(-3.3059882956210096e-10-2.695272893760148e-10j),(-1.2820493971998914e-10-8.833430062878581e-11j),(-0.32863423325631763+0.6426230909654811j),(-2.692352694955158e-10-2.866464149375858e-10j),(6.711534106251804e-11-4.684018919951723e-11j)
DS-p,1e-11,35.0,35.0,16.1,32.2,1.5707963267948966,51,(-3.4949325660067754e-10+1.601946960499978e-11j),(6.291070226880583e-11-2.2537759371785512e-11j),(0.0734518178628899-0.09790746760425223j),(-8.082363794079464e-10-9.494688735321027e-10j),(-5.7099901629859007e-11-1.49113314215106e-10j),(-0.3559028381888709-0.10253867273100292j),(-3.1941673091229195e-10-2.5971574543759424e-10j),(-1.2549939559791667e-10-8.640217230434131e-11j),(-0.3345623822258396+0.643160193324308j),(-2.824256835343153e-10-2.9807269152914984e-10j),(6.583618372690836e-11-4.7038664608678254e-11j)
